video_id,track_title,channel_name,play_count,first_event_index,last_event_index,first_relative_day,last_relative_day,in_music_library
sCGLGqjuIkU,Little Life,Cordelia - Topic,1,1010,1010,474,474,False
sMN0ibWJUWM,Vansire - Halcyon Age ( s l o w e d + r e v e r b),yeuric ,1,30,30,0,0,False
sk3rpYkiHe8,Devil In A New Dress,Kanye West - Topic,1,1022,1022,474,474,False
sk9XK3eMR6Y,in my restless dreams,666ep ♪,1,349,349,433,433,False
t0q6jx9ZV2Q,time,hozuki - Topic,1,1440,1440,483,483,False
t8WUGU5-a68,julie doiron - august 10 (slowed&reverb),ame 雨の中,1,372,372,433,433,False
t9bf1XTLOXw,Pure Stillness,Quiet Music Academy - Topic,1,957,957,467,467,False
tGTKY1dpo_E,Young Thug - Oh U Went (feat. Drake) [Official Video],Young Thug,1,1379,1379,482,482,False
tUMc_-Bcunk,Richter: On the Nature of Daylight,Konzerthaus Kammerorchester Berlin - Topic,1,1397,1397,483,483,False
tgNOACjoi8Q,https://music.youtube.com/watch?v=tgNOACjoi8Q,,1,1131,1131,477,477,False
tkPoOvVnbRk,Long Time (Intro),Playboi Carti - Topic,1,86,86,1,1,False
tlp8iY4g--4,Chega De Saudade,Antonio Carlos Jobim - Topic,1,540,540,440,440,False
tnVAEAo7nvA,Les,Childish Gambino - Topic,1,52,52,0,0,False
tqiw_yIlSF0,Palace (Slowed + Reverb),ADTurnUp - Topic,1,9,9,0,0,False
tqp-gzerujg,does it ever get better?,Lonnex - Topic,1,1665,1665,493,493,False
u0LaoQks5mY,Migos - Need It (Official Video) ft. YoungBoy Never Broke Again,MigosVEVO,1,1215,1215,480,480,False
u8Ub6triQPE,peace,berlioz - Topic,1,1264,1264,480,480,False
uDsqD6vSA9Y,All You Need,Glokk40Spaz - Topic,1,1266,1266,480,480,True
uRrw8glMKn0,Nun 4 No Schmuck,Glokk40Spaz - Topic,1,1558,1558,487,487,False
uUnOL6T3FN0,The Social Network (2010) - Full Expanded soundtrack (Trent Reznor & Atticus Ross),DarthSoundtrack,1,700,700,453,453,False
uVsid59MkDs,Intro,J. Cole - Topic,1,104,104,376,376,False
uXSWJeXnPJA,"Rachmaninoff: Cello Sonata in G Minor, Op. 19: III. Andante",Gautier Capuçon - Topic,1,1643,1643,491,491,False
ueWWNDG13Ts,Just A Dream,Nelly - Topic,1,60,60,0,0,False
uwXqXxDtFYg,Definition,Release - Topic,1,1078,1078,475,475,False
uxpDa-c-4Mc,Drake - Hotline Bling,DrakeVEVO,1,1135,1135,477,477,False
v01q01LbWzI,The Pixies - Where Is My Mind (Retrowave Cover Long Version),The Motion,1,148,148,395,395,False
v2m9J8Z110I,Everything In Its Right Place (Instrumental),SAD - Topic,1,243,243,420,420,False
vNBNIce9XDM,One Night Only,Sonder - Topic,1,1233,1233,480,480,False
vWwIBemUwOI,https://music.youtube.com/watch?v=vWwIBemUwOI,,1,1226,1226,480,480,False
vdB3E5cRdTk,Telephones,Vacations - Topic,1,15,15,0,0,False
vjIG3UZza2k,"""I dont sleep well anymore"" Present",Toobles,1,328,328,432,432,False
vu1vQyjE1aA,Trust,Brent Faiyaz - Topic,1,1348,1348,482,482,False
w3bKYrs1TH4,LUCKI - Alternative Outro (Lyrics),𝐑֎𝐇,1,457,457,436,436,False
w4MSbajRs_Y,Emotionless,Drake - Topic,1,1760,1760,775,775,True
w7Wf0h1Q8a4,Gunna - HIM ALL ALONG [Official Video],Gunna,1,1380,1380,482,482,False
wGQDJNksrAM,C418 - Dead Voxel (Minecraft Volume Beta),NycrypticProject,1,1759,1759,775,775,False
wIgmyE5Juzw,Wallows - Are You Bored Yet? (feat. Clairo) [Official Video],Wallows,1,1260,1260,480,480,False
wOy2xm7KsD4,Location,Khalid - Topic,1,1346,1346,482,482,False
wT2OQwiC08Y,Hotel Ugly - Shut Up My Moms Calling (Slowed + Reverb),• Gandhiswag •,1,163,163,395,395,False
wcpNW8xuc8A,Great Are You Lord,Michael W. Smith - Topic,1,1170,1170,479,479,False
weeI1G46q0o,"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",DJKhaledVEVO,1,1147,1147,477,477,False
wkUVO6frGqE,Need 2,Pinegrove - Topic,1,27,27,0,0,False
wnaWXx2uFcg,vacations - telephones (slowed + reverb),silvergaze,1,435,435,436,436,False
ws7QInuGdCk,Glokk40Spaz - Thug Life [Dir.ITM] [Prod.Glokay],GL4 Spaz,1,839,839,457,457,False
x1xkCR_lztA,Playboi Carti - We So Proud of Him [prod. @6Silky & @BBasedTj],6Silky,1,819,819,456,456,False
x2PvGMWlSpg,LIGHT IT UP!,xrossover - Topic,1,61,61,0,0,False
x4JNfW3y0h0,FRANK OCEAN - PINK + WHITE  ( s l o w e d   +   r e v e r b ),GIULIANO,1,161,161,395,395,False
x6Nr6EX3AwY,"Drake - You Only Live Twice (Audio) ft. Lil Wayne, Rick Ross",DrakeVEVO,1,1915,1915,858,858,False
x6QJPJO2w40,Ivy,Frank Ocean - Topic,1,1222,1222,480,480,False
x858OLBHShM,Brent Faiyaz - Wish You Well (Full Version),TheRealDeals,1,1230,1230,480,480,False
xAz_DzPUjrM,Men I Trust - Numb,Men I Trust,1,1263,1263,480,480,False
xDmb610okx0,"21 Savage, Doja Cat - n.h.i.e. (Official Audio)",21SavageVEVO,1,646,646,449,449,False
xFEMrHaU2zo,Watch This (Lil Uzi Vert) (Chill Version),Silent DJ - Topic,1,10,10,0,0,False
xKmqwrQFlpA,Locket,Crumb - Topic,1,25,25,0,0,False
xPtcArdELVo,Success,Deeski - Topic,1,1912,1912,856,856,False
xfvxJSIP_y4,EBG Massacare,Glokk40Spaz - Topic,1,1060,1060,475,475,False
xmpTLfOmR0Y,Glokk40Spaz - Muzzle,GL4 Spaz,1,1416,1416,483,483,False
xqp4gNT410s,liminalyx - cold loneliness,dreamscape,1,310,310,432,432,False
xqq1_XvbpPE,losing (Slowed + Reverb),Lonnex - Topic,1,922,922,462,462,False
xsmWMgshyBw,The Show Goes On,Lupe Fiasco - Topic,1,49,49,0,0,False
xzecvLoNl2E,you not the same,Tilekid - Topic,1,926,926,462,462,False
y-f8pEX1Q1M,Infinite Amethyst,Lena Raine - Topic,1,192,192,412,412,False
yGeFeBKlVmQ,DON THADO & LIL DOUBLE 0 - Higher Than Ever (Need a G),Don Thado,1,1031,1031,474,474,False
yHRXlD2-khk,not that i’m anywhere - cities aviv (instrumental loop) [slowed],spedupsl0w3d ☆,1,351,351,433,433,False
yIMSQPvhTWE,duster - familiar fields (official video),duster,1,377,377,433,433,False
yMoiFhzhctY,Knees,Injury Reserve - Topic,1,56,56,0,0,False
y_bBWlJdog4,4:44,JAY-Z - Topic,1,44,44,0,0,False
yfdnTqn7yLs,I Say When We're Done,nikomanjiro - Topic,1,78,78,1,1,False
yhohHPdPczQ,MY EYES,Travis Scott - Topic,1,48,48,0,0,False
ymP9fUlF-Ok,gave you my all,juggler - Topic,1,34,34,0,0,False
yoKU-adT3kg,LUCKI - Free Mr. Banks (Official Video),LUCKI,1,1023,1023,474,474,False
z34enKCqRGk,Travelers,Andrew Prahlow - Topic,1,191,191,412,412,False
z7vZeHX3WcY,Kaleidoscope,Adrián Berenguer - Topic,1,674,674,452,452,False
z8zDPPA3CEQ,Ludwig Göransson - Groves (slowed + reverb),Pietro Aimar,1,1686,1686,694,694,False
zTn8bUE4-ts,Lil Baby & Lil Durk - How It Feels (Official Audio),Lil Baby Official ,1,1197,1197,480,480,False
zV6P77Y4D6k,AFTER HOURS,Avenoir - Topic,1,1224,1224,480,480,False
za1-xOP6ml8,aphrodite's help 🏛️ ❥,lâl ୨୧,1,370,370,433,433,False
zdfjCivNxGY,Beach Fossils - Down the Line (Official Video),BeachFossilsVEVO,1,398,398,434,434,False
zgOR698RMLY,Wallows - Scrawny (Official Music Video),Wallows,1,1261,1261,480,480,False
zql8G-4gE7w,"Nocturne in E Flat Major, Op. 9, No. 2",Frédéric Chopin - Topic,1,983,983,467,467,False
zs7PVTSZmic,G-lokk40 Spaz - “Kap Or Die” (prod.Khroam) (Official Audio),G-lokk40 Spaz,1,1066,1066,475,475,False
